hour,fluid,used_coolprop,T_evap_sat_K,T_cond_sat_K,P_evap_kPa,P_cond_kPa,h1,h2s,h2,h3,T_source_in_C,T_geo_in_C,Q_geo_kW,flow_src_kgps,flow_load_kgps,T_outdoor_C
61,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,270024.226205,49.0174,49.0174,0.0000,0.0000,0.0000,13.3000
62,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268905.330497,49.0174,49.0174,0.0000,0.0000,0.0000,16.8000
63,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268809.220932,49.0174,49.0174,0.0000,0.0000,0.0000,19.7000
64,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268792.981589,49.0174,49.0174,0.0000,0.0000,0.0000,19.4000
65,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268776.743229,49.0174,49.0174,0.0000,0.0000,0.0000,18.6000
66,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,268760.505852,49.0174,49.0174,0.0000,0.0000,0.0000,17.4000
67,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,267504.877272,49.0174,49.0174,0.0000,0.0000,0.0000,16.0000
68,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,264866.954608,49.0174,49.0174,0.0000,0.0000,0.0000,14.7000
69,R134a,1,317.167363,331.150000,1130.628997,1603.607823,426918.710990,434168.216665,437275.147668,261113.357240,49.0174,49.0174,0.0000,0.0000,0.0000,13.5000
70,R134a,1,315.301813,331.150000,1076.542346,1603.607823,426064.077755,434348.786053,437899.375323,270611.437157,47.1518,47.1518,0.0000,0.0000,0.0000,12.4000
71,R134a,1,315.301813,331.150000,1076.542346,1603.607823,426064.077755,434348.786053,437899.375323,264655.235234,47.1518,47.1518,0.0000,0.0000,0.0000,11.5000
72,R134a,1,315.036773,331.150000,1069.018717,1603.607823,425941.138608,434374.226844,437988.407517,272372.226765,46.8868,46.8773,0.0000,0.0000,0.0000,10.8000
73,R134a,1,315.036773,331.150000,1069.018717,1603.607823,425941.138608,434374.226844,437988.407517,264958.805123,46.8868,46.8868,0.0000,0.0000,0.0000,10.2000
74,R134a,1,315.048759,331.150000,1069.358108,1603.607823,425946.706364,434373.077306,437984.379138,271633.025712,46.8988,46.8891,0.0000,0.0000,0.0000,9.8000
75,R134a,1,315.048759,331.150000,1069.358108,1603.607823,425946.706364,434373.077306,437984.379138,263538.458007,46.8988,46.8988,0.0000,0.0000,0.0000,9.6000
76,R134a,1,314.605900,331.150000,1056.871885,1603.607823,425740.487156,434415.491889,438133.351061,269569.082167,46.4559,46.4559,0.0000,0.0000,0.0000,9.4000
77,R134a,1,314.605900,331.150000,1056.871885,1603.607823,425740.487156,434415.491889,438133.351061,261283.914884,46.4559,46.4559,0.0000,0.0000,0.0000,9.4000
78,R134a,1,314.598383,331.150000,1056.660895,1603.607823,425736.977966,434416.210823,438135.882048,267078.592872,46.4484,46.4484,0.0000,0.0000,0.0000,9.4000
79,R134a,1,314.189527,331.150000,1045.232487,1603.607823,425545.667053,434455.267495,438273.667685,265777.997946,46.0395,28.7830,722.1662,10.0000,23.0000,9.4000
80,R134a,1,314.189527,331.150000,1045.232487,1603.607823,425545.667053,434455.267495,438273.667685,264913.065590,46.0395,46.0395,0.0000,0.0000,0.0000,10.0000
81,R134a,1,314.171023,331.150000,1044.717441,1603.607823,425536.987844,434457.033106,438279.909646,271902.941527,46.0210,46.0116,0.0000,0.0000,0.0000,10.6000
82,R134a,1,314.171023,331.150000,1044.717441,1603.607823,425536.987844,434457.033106,438279.909646,265166.641679,46.0210,46.0210,0.0000,0.0000,0.0000,11.0000
83,R134a,1,313.692960,331.150000,1031.477334,1603.607823,425312.153350,434502.589422,438441.347739,265890.373210,45.5430,28.5666,710.4448,10.0000,23.0000,11.3000
84,R134a,1,313.692960,331.150000,1031.477334,1603.607823,425312.153350,434502.589422,438441.347739,266875.099236,45.5430,45.5430,0.0000,0.0000,0.0000,11.8000
85,R134a,1,313.692960,331.150000,1031.477334,1603.607823,425312.153350,434502.589422,438441.347739,261837.375597,45.5430,45.5430,0.0000,0.0000,0.0000,12.6000
86,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,272015.308392,45.4823,45.4823,0.0000,0.0000,0.0000,14.0000
87,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,269676.140742,45.4823,45.4823,0.0000,0.0000,0.0000,15.3000
88,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,267408.206156,45.4823,45.4823,0.0000,0.0000,0.0000,15.1000
89,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,264683.501469,45.4823,45.4823,0.0000,0.0000,0.0000,14.6000
90,R134a,1,313.632328,331.150000,1029.807155,1603.607823,425283.554332,434508.359781,438461.847831,261287.183178,45.4823,45.4823,0.0000,0.0000,0.0000,13.9000
91,R134a,1,312.710664,331.150000,1004.667811,1603.607823,424846.531022,434595.899534,438774.200325,270468.694594,44.5607,44.5607,0.0000,0.0000,0.0000,13.2000
92,R134a,1,312.710664,331.150000,1004.667811,1603.607823,424846.531022,434595.899534,438774.200325,265374.089018,44.5607,44.5607,0.0000,0.0000,0.0000,12.5000
93,R134a,1,313.028169,331.150000,1013.275503,1603.607823,424997.564547,434565.776912,438666.439353,259935.530622,44.8782,27.6254,722.0173,10.0000,23.0000,12.0000
94,R134a,1,312.882433,331.150000,1009.317707,1603.607823,424928.302350,434579.607277,438715.880817,267624.352499,44.7324,44.7324,0.0000,0.0000,0.0000,11.6000
95,R134a,1,312.882433,331.150000,1009.317707,1603.607823,424928.302350,434579.607277,438715.880817,261411.091054,44.7324,44.7324,0.0000,0.0000,0.0000,11.3000
96,R134a,1,312.320455,331.150000,994.164405,1603.607823,424660.226209,434632.879231,438906.873384,268196.376631,44.1705,44.1705,0.0000,0.0000,0.0000,11.0000
97,R134a,1,312.320455,331.150000,994.164405,1603.607823,424660.226209,434632.879231,438906.873384,261260.750033,44.1705,44.1705,0.0000,0.0000,0.0000,10.6000
98,R134a,1,312.396973,331.150000,996.217527,1603.607823,424696.818770,434625.630918,438880.836124,267254.907048,44.2470,44.2470,0.0000,0.0000,0.0000,10.1000
99,R134a,1,312.117908,331.150000,988.744951,1603.607823,424563.223464,434652.059454,438975.846308,265806.044906,43.9679,27.8088,676.2315,10.0000,23.0000,9.4000
100,R134a,1,312.117908,331.150000,988.744951,1603.607823,424563.223464,434652.059454,438975.846308,263468.569121,43.9679,43.9679,0.0000,0.0000,0.0000,8.7000
101,R134a,1,311.978609,331.150000,985.030693,1603.607823,424496.394363,434665.245231,439023.324174,267231.730477,43.8286,43.8286,0.0000,0.0000,0.0000,8.1000
102,R134a,1,311.903406,331.150000,983.029837,1603.607823,424460.275905,434672.362246,439048.970678,270274.589352,43.7534,43.7440,0.0000,0.0000,0.0000,7.6000
103,R134a,1,311.808316,331.150000,980.504256,1603.607823,424414.566993,434681.359769,439081.413815,259772.059647,43.6583,27.0502,695.4017,10.0000,23.0000,7.4000
104,R134a,1,311.737316,331.150000,978.621658,1603.607823,424380.408785,434688.076946,439105.649016,263015.873625,43.5873,43.5873,0.0000,0.0000,0.0000,7.9000
105,R134a,1,311.646615,331.150000,976.220655,1603.607823,424336.737238,434696.656741,439136.622243,266872.977635,43.4966,43.4966,0.0000,0.0000,0.0000,8.5000
106,R134a,1,311.494382,331.150000,972.200722,1603.607823,424263.348705,434711.054518,439188.642724,264847.745318,43.3444,27.4057,666.9982,10.0000,23.0000,9.1000
107,R134a,1,311.494382,331.150000,972.200722,1603.607823,424263.348705,434711.054518,439188.642724,263178.998451,43.3444,43.3444,0.0000,0.0000,0.0000,9.6000
108,R134a,1,311.367698,331.150000,968.864913,1603.607823,424202.191077,434723.033775,439231.966360,268684.580693,43.2177,43.2177,0.0000,0.0000,0.0000,10.2000
109,R134a,1,311.367698,331.150000,968.864913,1603.607823,424202.191077,434723.033775,439231.966360,261947.000858,43.2177,43.2177,0.0000,0.0000,0.0000,11.0000
110,R134a,1,311.183599,331.150000,964.032607,1603.607823,424113.178476,434740.439136,439294.979418,269338.298612,43.0336,43.0336,0.0000,0.0000,0.0000,12.1000
111,R134a,1,311.183599,331.150000,964.032607,1603.607823,424113.178476,434740.439136,439294.979418,265015.045249,43.0336,43.0336,0.0000,0.0000,0.0000,13.4000
112,R134a,1,311.183599,331.150000,964.032607,1603.607823,424113.178476,434740.439136,439294.979418,261493.919679,43.0336,43.0336,0.0000,0.0000,0.0000,14.0000
113,R134a,1,310.911982,331.150000,956.936184,1603.607823,423981.554346,434766.113837,439388.067904,270615.037282,42.7620,42.7620,0.0000,0.0000,0.0000,13.6000
114,R134a,1,310.911982,331.150000,956.936184,1603.607823,423981.554346,434766.113837,439388.067904,265834.244529,42.7620,42.7620,0.0000,0.0000,0.0000,12.6000
115,R134a,1,310.717417,331.150000,951.877005,1603.607823,423887.052546,434784.503069,439454.839008,259783.557819,42.5674,26.5266,671.6526,10.0000,23.0000,11.4000
116,R134a,1,310.706689,331.150000,951.598645,1603.607823,423881.836827,434785.516956,439458.522726,265137.388766,42.5567,42.5567,0.0000,0.0000,0.0000,10.1000
117,R134a,1,310.585836,331.150000,948.466978,1603.607823,423823.040961,434796.938916,439500.038040,269576.980546,42.4358,42.4260,0.0000,0.0000,0.0000,9.1000
118,R134a,1,310.503993,331.150000,946.350582,1603.607823,423783.184623,434804.673964,439528.169396,260287.460717,42.3540,26.4719,665.0200,10.0000,23.0000,8.3000
119,R134a,1,310.489244,331.150000,945.969541,1603.607823,423775.998319,434806.067987,439533.240702,263076.429254,42.3392,42.3392,0.0000,0.0000,0.0000,7.7000
120,R134a,1,310.384017,331.150000,943.254485,1603.607823,423724.700546,434816.013238,439569.432963,265273.461365,42.2340,42.2340,0.0000,0.0000,0.0000,7.1000
121,R134a,1,310.296797,331.150000,941.008478,1603.607823,423682.141540,434824.256853,439599.449130,266988.231379,42.1468,42.1468,0.0000,0.0000,0.0000,6.7000
122,R134a,1,310.194173,331.150000,938.370968,1603.607823,423632.020845,434833.956697,439634.786347,268205.112971,42.0442,27.0817,626.1214,10.0000,23.0000,6.2000
123,R134a,1,310.194173,331.150000,938.370968,1603.607823,423632.020845,434833.956697,439634.786347,262262.567453,42.0442,42.0442,0.0000,0.0000,0.0000,5.7000
124,R134a,1,310.091967,331.150000,935.749687,1603.607823,423582.054637,434843.617723,439670.001903,262235.766563,41.9420,41.9420,0.0000,0.0000,0.0000,5.1000
125,R134a,1,310.005777,331.150000,933.543461,1603.607823,423539.880628,434851.765333,439699.715921,267845.309152,41.8558,41.8558,0.0000,0.0000,0.0000,4.7000
126,R134a,1,309.898393,331.150000,930.800172,1603.607823,423487.287239,434861.917348,439736.758823,266851.647319,41.7484,26.7967,625.6732,10.0000,23.0000,4.3000
127,R134a,1,309.826100,331.150000,928.956766,1603.607823,423451.850466,434868.752423,439761.710404,259154.611803,41.6761,26.0255,655.3423,10.0000,23.0000,4.2000
128,R134a,1,309.806320,331.150000,928.452874,1603.607823,423442.150484,434870.622641,439768.539280,264715.946163,41.6563,41.6563,0.0000,0.0000,0.0000,4.9000
129,R134a,1,309.724678,331.150000,926.375216,1603.607823,423402.094224,434878.342496,439796.734613,265359.868064,41.5747,41.5747,0.0000,0.0000,0.0000,6.2000
130,R134a,1,309.645836,331.150000,924.372131,1603.607823,423363.382508,434885.798325,439823.976533,267644.374065,41.4958,41.4958,0.0000,0.0000,0.0000,7.8000
131,R134a,1,309.554183,331.150000,922.047635,1603.607823,423318.344008,434894.466744,439855.662202,265560.778021,41.4042,26.4934,623.9560,10.0000,23.0000,9.6000
132,R134a,1,309.554183,331.150000,922.047635,1603.607823,423318.344008,434894.466744,439855.662202,265030.251818,41.4042,41.4042,0.0000,0.0000,0.0000,11.2000
133,R134a,1,309.414346,331.150000,918.509600,1603.607823,423249.553956,434907.694513,439904.040467,266243.424504,41.2643,26.4858,618.4237,10.0000,23.0000,12.7000
134,R134a,1,309.414346,331.150000,918.509600,1603.607823,423249.553956,434907.694513,439904.040467,268506.314637,41.2643,41.2643,0.0000,0.0000,0.0000,13.8000
135,R134a,1,309.414346,331.150000,918.509600,1603.607823,423249.553956,434907.694513,439904.040467,265280.468639,41.2643,41.2643,0.0000,0.0000,0.0000,14.3000
136,R134a,1,309.414346,331.150000,918.509600,1603.607823,423249.553956,434907.694513,439904.040467,261912.840762,41.2643,41.2643,0.0000,0.0000,0.0000,14.0000
137,R134a,1,309.156280,331.150000,912.006993,1603.607823,423122.367220,434932.114666,439993.435000,270000.535165,41.0063,41.0063,0.0000,0.0000,0.0000,13.1000
138,R134a,1,309.156280,331.150000,912.006993,1603.607823,423122.367220,434932.114666,439993.435000,264440.714056,41.0063,41.0063,0.0000,0.0000,0.0000,11.8000
139,R134a,1,309.001107,331.150000,908.113711,1603.607823,423045.744328,434946.804411,440047.258732,269675.306539,40.8511,40.8413,0.0000,0.0000,0.0000,10.4000
140,R134a,1,309.001107,331.150000,908.113711,1603.607823,423045.744328,434946.804411,440047.258732,261144.718282,40.8511,40.8511,0.0000,0.0000,0.0000,9.1000
141,R134a,1,308.936329,331.150000,906.492124,1603.607823,423013.724984,434952.938285,440069.743985,263768.008111,40.7863,40.7863,0.0000,0.0000,0.0000,7.9000
142,R134a,1,308.863151,331.150000,904.662874,1603.607823,422977.530555,434959.868714,440095.156497,265375.711569,40.7132,40.7132,0.0000,0.0000,0.0000,7.0000
143,R134a,1,308.779768,331.150000,902.581928,1603.607823,422936.259476,434967.767076,440124.127476,272149.494102,40.6298,40.6200,0.0000,0.0000,0.0000,6.2000
144,R134a,1,308.700753,331.150000,900.613306,1603.607823,422897.121193,434975.253286,440151.595612,259854.936673,40.5508,25.5207,629.3552,10.0000,23.0000,5.5000
145,R134a,1,308.682138,331.150000,900.150002,1603.607823,422887.896780,434977.017139,440158.068721,264977.328796,40.5321,40.5321,0.0000,0.0000,0.0000,4.8000
146,R134a,1,308.600104,331.150000,898.110366,1603.607823,422847.226396,434984.791473,440186.605077,269434.584141,40.4501,40.4501,0.0000,0.0000,0.0000,4.2000
147,R134a,1,308.523061,331.150000,896.197983,1603.607823,422809.002730,434992.094478,440213.419513,267333.654657,40.3731,26.1152,596.6195,10.0000,23.0000,3.6000
148,R134a,1,308.463559,331.150000,894.723097,1603.607823,422779.463379,434997.735903,440234.138413,258395.691132,40.3136,25.2626,630.2410,10.0000,23.0000,3.0000
149,R134a,1,308.448101,331.150000,894.340228,1603.607823,422771.786620,434999.201679,440239.522419,261141.185839,40.2981,40.2981,0.0000,0.0000,0.0000,2.5000
150,R134a,1,308.382738,331.150000,892.722702,1603.607823,422739.315040,435005.400208,440262.293851,263307.212583,40.2327,40.2327,0.0000,0.0000,0.0000,2.1000
151,R134a,1,308.325432,331.150000,891.306352,1603.607823,422710.829969,435010.835789,440282.266854,265073.877147,40.1754,40.1754,0.0000,0.0000,0.0000,2.0000
152,R134a,1,308.255808,331.150000,889.587838,1603.607823,422676.202432,435017.441070,440306.543344,267360.005463,40.1058,40.1058,0.0000,0.0000,0.0000,2.4000
153,R134a,1,308.187143,331.150000,887.895447,1603.607823,422642.030879,435023.956823,440330.496513,270422.326361,40.0371,40.0278,0.0000,0.0000,0.0000,3.2000
154,R134a,1,308.118976,331.150000,886.217712,1603.607823,422608.086096,435030.426883,440354.287219,262682.848825,39.9690,25.4690,606.7644,10.0000,23.0000,4.3000
155,R134a,1,308.110503,331.150000,886.009337,1603.607823,422603.865335,435031.231214,440357.245163,262409.530082,39.9605,39.9605,0.0000,0.0000,0.0000,6.0000
156,R134a,1,308.043630,331.150000,884.366070,1603.607823,422570.542591,435037.580095,440380.596168,264368.592099,39.8936,39.8936,0.0000,0.0000,0.0000,8.1000
157,R134a,1,307.967608,331.150000,882.500733,1603.607823,422532.636040,435044.799583,440407.155387,269138.899395,39.8176,39.8176,0.0000,0.0000,0.0000,10.9000
158,R134a,1,307.967608,331.150000,882.500733,1603.607823,422532.636040,435044.799583,440407.155387,265572.678417,39.8176,39.8176,0.0000,0.0000,0.0000,14.5000
159,R134a,1,307.967608,331.150000,882.500733,1603.607823,422532.636040,435044.799583,440407.155387,265074.056152,39.8176,39.8176,0.0000,0.0000,0.0000,17.3000
160,R134a,1,307.967608,331.150000,882.500733,1603.607823,422532.636040,435044.799583,440407.155387,264838.931390,39.8176,39.8176,0.0000,0.0000,0.0000,17.0000
161,R134a,1,307.967608,331.150000,882.500733,1603.607823,422532.636040,435044.799583,440407.155387,263686.000625,39.8176,39.8176,0.0000,0.0000,0.0000,16.0000
162,R134a,1,307.967608,331.150000,882.500733,1603.607823,422532.636040,435044.799583,440407.155387,261321.153722,39.8176,39.8176,0.0000,0.0000,0.0000,14.8000
